degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,a17d0fda292791807e0814cb9f5615e0562ef680,true,3,6,1,21,46,67,-25,8,15,3
false,a1f862629c223b675a31c4ba9fb7e07c27279090,true,6,8,3,40,12,52,28,9,15,2
false,a2349c2c59d2d028a155530fbdc9992fa5956478,false,1,1,1,2,5,7,-3,3,11,3
false,a289b3458940aa6d478ad0ffd862da70889c11ee,false,1,1,1,1,1,2,0,1,9,5
false,a2f848f250401fdcb5a0687a72ff856bdd196df8,true,1,2,1,79,10,89,69,4,17,2
false,a382917f7f5b502d72277de9a29b3fcca67209ca,true,1,3,1,15,1,16,14,3,13,6
false,a391ff3fe2cf3bbd9aa9afa7b2810df2b0b47d28,false,2,2,1,7,4,11,3,2,10,4
false,a3a5a40fcea53384554d7a8ada08ef7bb021bf1d,true,2,4,1,136,9,145,127,4,15,2
false,a49ff764b7587662c95038fdac5b09548aefbcfa,false,4,4,1,11,47,58,-36,7,14,6
false,a4a3a9a6517a8305d1b9c3d327a6cca349c8b338,true,2,2,1,30,5,35,25,4,13,5
false,a4ae23c635b6e8f71d9e616fbc22f60c74e176d0,true,1,1,1,2,0,2,2,1,9,4
false,a4bf277c9249a875d392ac1627ea0829d8a07972,true,1,1,1,1,0,1,1,1,10,2
false,a53591f030b87b5d1552e567226705020dee2a62,true,1,4,1,70,12,82,58,10,11,3
false,a5954823353f20a6157156704ae91d6067a1f5c8,false,1,1,1,1,1,2,0,1,12,4
false,a5b34d75fa82d7d522ff8516f4cbb3082d9ed587,false,6,7,1,68,176,244,-108,18,17,3
false,a60ef4f9e00059029a4753ea06b30b9c61c055f9,false,1,3,1,14,10,24,4,6,16,7
false,a72165363000a23ae280fc6544648670f865a4e5,false,1,1,1,27,10,37,17,4,10,4
