# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;3.325611965081711E-5;1.5705228423079642E-4;1.88817712E7;8.24472971E7;10;10;6.356552589999999E7
Entry point for DefaultServletTest.testWelcomeExactServlet;5.365489933397213E-5;3.8105845205071986E-4;3.5498355E7;5.78409193E7;10;10;2.2342564299999997E7
Entry point for AsyncServletTest.testStartTimeoutStartDispatch;9.709608811522296E-7;1.5705228423079642E-4;2.88156498E7;4.18918196E7;10;10;1.30761698E7
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormByForwardWithoutQuery;1.4317831478495856E-6;1.5705228423079642E-4;3.87051209E7;1.251963837E8;10;10;8.649126280000001E7
Entry point for DispatcherTest.testForwardWithParam;0.01082215680199164;0.012611144099313965;1.51846133E7;2.52436519E7;10;10;1.0059038599999998E7
Entry point for AsyncServletIOTest.testBigWrite;3.787887370109168E-5;3.8105845205071986E-4;6.96027764E7;9.19119727E7;10;10;2.2309196299999997E7
Entry point for DefaultServletTest.testIfModifiedLarge;1.9221710223342513E-4;2.8511808363163027E-4;3.2334143E7;6.8589931E7;10;10;3.6255788E7
Entry point for AsyncServletIOTest.testWrite;0.004146422278973542;0.0019397281129029942;6.12308006E7;6.70291314E7;10;10;5798330.799999997
Entry point for AsyncServletTest.testStartError;3.518348795087219E-8;1.5705228423079642E-4;6748710.2;2.2680449E7;10;10;1.59317388E7
Entry point for DefaultServletRangesTest.testUnsatisfiableRanges;0.004666564909625382;2.1218287122259927E-4;8413180.6;4.51079981E7;10;10;3.66948175E7
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithQuery;1.739232483233602E-5;1.5705228423079642E-4;2.28219154E7;1.385116767E8;10;10;1.1568976129999998E8
Entry point for AsyncServletTest.testNormal;1.175568177381933E-5;3.8105845205071986E-4;1.0082656332E9;1.0210049213E9;10;10;1.2739288099999905E7
0.0
0.05
